Questions,Answers
"If force is not applied, the change of the velocity of an object will be zero. Explain.","According to Newton’s First Law, an object will maintain its state of rest or uniform motion in a straight line unless acted upon by an external force. Thus, without an applied force, there is no change in velocity, meaning no acceleration."
Why does a car go ahead and stop after braking? Explain.,"When a car brakes, it stops due to the force applied by the brakes. However, due to inertia, the car still tends to move forward slightly before coming to a complete halt. This is because an object in motion continues to move unless acted upon by an external force."
Explain why does the weight of a body vary at different places of the earth.,"The weight of a body depends on gravitational acceleration, which varies slightly on different parts of the Earth due to its shape (being an oblate spheroid). Gravitational pull is stronger at the poles and weaker at the equator, causing weight to vary with location."
The motion of a cycle moving with a uniform speed on a circular track is a periodic motion. Explain.,"Periodic motion is when an object repeats its motion in a regular interval. When a cycle moves with uniform speed on a circular track, it returns to the starting point after completing each lap, thus repeating its motion in a periodic manner."
What type of motion is the motion of the earth around the sun? Explain it.,"The motion of the earth around the sun is periodic motion. This is explained below— If the motion of a moving object is such that it passes a certain point in its trajectory in the same direction at regular intervals, then that motion is called periodic motion. When the sun revolves around the earth, it passes a certain point in the same direction for a certain period of time. For example, the earth passes the sun in the same direction from the same position every 365 days. So the motion of the earth around the sun is periodic motion."
Explain what is meant by “rolling friction.”,Rolling friction is the force that resists the movement of a rolling object on a surface. This type of friction is generally less than sliding friction due to the nature of rolling. It is the reason why it is easier to move heavy objects using wheels or rollers.
Why is time equal in case of throwing objects upward and falling? Explain.,"When an object is thrown upwards, it reaches a certain height where it momentarily stops before falling back. The time taken to go up is equal to the time taken to come down due to symmetry of the motion under gravity."
Explain why the distance and displacement between your school and house are different?,"Displacement is the shortest path between the initial and final position, while distance is the total path traveled. The route from school to house may include turns and detours, making distance greater than displacement."
Why is the rate of change of displacement not the same for a freely falling body? Explain it.,"A freely falling body has acceleration due to gravity, which continuously increases its velocity as it falls. This causes a change in displacement over time, making the rate of change of displacement variable."
Explain mathematically why object B delayed in landing.,"According to the motion equations, if object A has higher initial velocity or different acceleration, object B takes more time to land, causing the delay."
Why is it difficult to walk on sand? Explain it.,"Walking on sand is challenging because sand particles move when pressure is applied, causing less resistance and resulting in difficulty gaining traction."
Describe the effect of friction when a bullet hits a board. Will the wall be damaged? Justify your answer.,"Friction causes the bullet to lose speed upon hitting the board. If the bullet is slowed enough, it may not penetrate or damage the wall depending on the board's thickness."
Why does the average velocity become zero when displacement is zero?,"Average velocity is defined as total displacement divided by time. If displacement is zero, regardless of time, the average velocity also becomes zero."
Explain the different positions of velocity while moving the cycle shown in the graph.,"As the cycle moves, its velocity changes based on the direction and speed of pedaling. The graph shows various velocities at different positions based on the cycle's movement."
Explain why uniform speed shows uniform velocity but uniform velocity does not show uniform speed?,"Uniform speed means covering equal distances in equal times but can occur in a circular path, not changing direction. Uniform velocity requires both magnitude and direction to be constant, which is not always the case with speed."
Why does a heavier body cause lower acceleration compared to a lighter body with the same force?,"Acceleration is inversely proportional to mass. A heavier object requires more force to achieve the same acceleration as a lighter object. Hence, with equal force, the heavier object will accelerate slower."
 Explain why motion of earth around the sun is periodic motion but is not vibratory.,"The motion of the earth around the sun is periodic but not vibratory. It passes through a definite point along the path of its motion in the same direction in a definite interval of time, which makes it periodic. However, vibratory motion would require it to move in one direction and then back in the opposite direction, which does not happen in this case."
 Explain why weight of a body varies at different places of the earth.,"The weight of a body depends on the gravitational force, which varies slightly at different locations on Earth due to its shape. The Earth is not a perfect sphere, so gravitational force is weaker at the equator than at the poles, causing a variation in weight."
" After breaking, the car does not stop going a little further. Explain why.","When the car is in motion, it has inertia, which is the tendency of an object to resist changes to its state of motion. After breaking, due to inertia, the car continues to move forward slightly until frictional forces bring it to a complete stop."
 Why does a moving car come to rest after applying a break?,"When a break is applied to a moving car, it causes a force that opposes the car's motion, gradually reducing its kinetic energy to zero. This is due to the force of friction between the brake pads and the wheels, which converts the kinetic energy into heat and eventually stops the car."
 Explain second law of motion.,"According to Newton's Second Law of Motion, the rate of change of momentum of a body is proportional to the applied force acting on it. The change of momentum also occurs in the direction in which the force is applied. This is represented by the formula F=ma, where F is force, m is mass, and a is acceleration."
 Is it possible to have the efficiency of a machine more than 100%? Explain.,"No, it is not possible for a machine's efficiency to exceed 100%. Efficiency is a measure of how well a machine converts input energy into useful output energy. A machine operating at 100% efficiency would convert all input energy into output without any losses. Exceeding this would imply it produces more energy than it receives, violating the law of conservation of energy."
 How does the shape of the Earth affect the weight of an object at different locations?,"The Earth is not a perfect sphere; it's slightly flattened at the poles and bulging at the equator. This shape causes gravitational force to vary slightly, making objects weigh slightly more at the poles (where they are closer to Earth's center) and slightly less at the equator (where they are farther from the center)."
 Why is it easier to push a stationary car on a level road than on a slope?,"On a level road, only the car's inertia needs to be overcome, requiring less force. On a slope, however, gravity adds an additional downward force, so more effort is needed to overcome both inertia and gravity to move the car uphill."
 Explain how inertia affects passengers in a moving bus when it suddenly stops.,"When a bus stops suddenly, passengers continue moving forward due to inertia, which is the tendency of objects to resist changes in their motion. Since their bodies are in motion with the bus, they tend to keep moving even as the bus stops, which is why they may feel a forward jolt."
 Why does a car skid when brakes are applied suddenly on a wet road?,"On a wet road, friction between the tires and the road surface is reduced. When brakes are applied suddenly, the tires cannot grip the road effectively, causing the car to skid forward due to inertia, which keeps the car in motion despite braking."
 Why does a rocket move upward if there is no air to push against?,"A rocket moves upward due to Newton's Third Law of Motion: for every action, there is an equal and opposite reaction. When fuel is burned and expelled downward at high speed, it creates an upward thrust that propels the rocket forward, independent of any external air resistance."
 How does Newton's Second Law explain why a heavier object requires more force to accelerate?,"Newton’s Second Law states that force is the product of mass and acceleration (F = ma). For a given acceleration, an object with greater mass requires a larger force to achieve that acceleration, as force and mass are directly proportional."
 Why do passengers feel pressed against their seats when a car accelerates rapidly?,"When a car accelerates rapidly, the car pushes the passengers forward, but due to inertia, their bodies initially resist this change in motion. As the car accelerates, the seat pushes against their bodies, making them feel pressed back. This is due to the force exerted by the accelerating car on the passengers, following Newton's Second Law."
 How does gravitational force affect the motion of a falling object?,"Gravitational force constantly pulls a falling object toward the Earth’s surface, causing it to accelerate at approximately 9.8 m/s². This consistent acceleration continues until other forces, such as air resistance or ground impact, act on the object."
 What is the significance of friction when stopping a moving object?,"Friction provides a resisting force that opposes the motion of a moving object, converting kinetic energy into heat. This resistance slows down and eventually stops the object. Without friction, an object in motion would continue moving indefinitely until another force acts on it."
 Why do astronauts experience weightlessness in space despite having mass?,"Astronauts in space experience weightlessness because they are in free fall around the Earth. Although they still have mass, they are in a constant state of free fall toward the Earth, so they don't feel the force of gravity pulling them downward in the same way they would on the Earth's surface. This sensation of weightlessness is due to the lack of opposing forces acting on them."
Why are the grooves on car tyres important?,"Grooves on car tyres are designed to maximize friction between the tyre and the road. This increased friction provides better traction, especially on wet, icy, or uneven surfaces, by allowing water and debris to be channeled out from under the tyre. This minimizes the risk of slipping or hydroplaning. Additionally, the grooves help maintain stability during turns and braking, improving safety. Without grooves, tyres would lose grip more easily, making it difficult to control the vehicle, particularly in adverse weather conditions."
Explain why the weight of a body varies at different places on the earth.,"The weight of a body, which is the gravitational force acting on it, varies across different locations on Earth due to variations in gravitational acceleration (g). Gravitational acceleration is affected by factors such as altitude, latitude, and Earth’s shape. At higher altitudes, an object is farther from Earth's center, experiencing a slightly weaker gravitational pull, thus reducing weight. Additionally, Earth's rotation causes a centrifugal force that slightly counteracts gravity, especially at the equator, making objects weigh a little less there than they would at the poles."
Why is it easier to walk on hard ground compared to a muddy road?,"It is easier to walk on hard ground because hard surfaces provide a stable foundation with sufficient friction, which prevents slipping and helps maintain balance. When walking on a muddy road, friction is significantly reduced because mud is slippery and provides an unstable surface. The reduced friction makes it difficult for feet to gain traction, increasing the risk of slipping or falling. Hard ground, on the other hand, offers more resistance against foot pressure, allowing a person to walk with stability and confidence."
Why did the car in motion not stop immediately after the brakes were applied?,"When brakes are applied to a moving car, it does not stop immediately due to inertia. Inertia, as described by Newton’s first law of motion, is the tendency of a body to maintain its state of motion unless acted upon by an external force. When the brakes are applied, they create a frictional force that opposes the motion, but the car’s mass and velocity create a momentum that must be overcome. The car gradually loses speed as kinetic energy is dissipated through friction with the road, which eventually brings it to a stop. However, this process takes time due to the car’s initial momentum and inertia."
Why is it difficult to climb up a mountain than coming down?,"Climbing up a mountain is more difficult than descending because going upwards requires working against gravity. Moving upwards means you have to overcome the gravitational pull that pulls you downward, which requires additional energy and effort. While descending, gravity aids in the movement, making it easier as it ""pulls"" you down the slope. Additionally, climbing often requires more physical exertion to lift one's body weight against gravity, whereas descending requires less effort, as gravity assists with the motion. Therefore, climbing up demands greater energy expenditure and muscular effort compared to coming down."
Why is it easier to pull a log after placing it on a van than pulling it by a rope?,"It is easier to pull a log on a van because the van’s wheels reduce the friction between the log and the ground, making it simpler to move. When you pull a log directly on the ground with a rope, there is significant frictional resistance between the log and the ground, which opposes the force applied. The wheels of the van, however, enable rolling motion, which has less friction compared to dragging. Thus, placing the log on a van decreases the effort needed to move it, as rolling friction is generally much lower than sliding friction."
Why does the velocity of a thrown object decrease gradually?,"The velocity of a thrown object decreases gradually due to the effect of gravitational force acting against its motion. When an object is thrown upwards, gravity exerts a downward pull, decelerating the object as it rises. This causes the object’s upward velocity to decrease gradually until it reaches zero at its peak height. After reaching this point, the object then starts to fall back down, accelerating under gravity. Thus, gravity acts to decelerate the object on its way up and accelerates it downward after it has reached its highest point. Air resistance, if present, also contributes to the gradual decrease in velocity."
Why walking is difficult in a muddy street?,"Walking on a muddy street is challenging because mud reduces the frictional force between the ground and the foot. Friction is necessary to push against the ground with each step to move forward. In a muddy environment, the mud acts as a slippery layer that reduces the frictional force, making it harder to gain traction and increasing the likelihood of slipping. Furthermore, the uneven, soft nature of mud does not provide a stable surface to push against, making it harder to balance and walk comfortably. Without sufficient friction, one cannot maintain a steady gait, leading to difficulties in movement."
Why is it essential to pull a log after placing it on a van than pulling it by a rope?,"Pulling a log on a van reduces the frictional resistance compared to dragging it directly on the ground with a rope. The wheels of the van help to minimize the frictional force that opposes the motion of the log. When pulling with a rope, there is greater resistance due to direct contact between the log and the ground. In this case, dragging friction is involved, which is significantly higher than the rolling friction present when the log is on the van. Therefore, placing the log on a van reduces the frictional force encountered, making it easier to pull the log with less effort."
Why it is easier to walk on hard ground compared to sandy ground?,"Walking on hard ground is easier than walking on sandy ground because hard surfaces provide more friction, which stabilizes movement. Sandy ground is loose and does not provide sufficient resistance against the pressure of your feet. As you walk on sand, it shifts and disperses underfoot, absorbing energy and making it harder to push forward. The lack of firm support and the shifting nature of sand reduce friction and increase energy expenditure, making it difficult to walk with balance and stability. Hard ground, by contrast, offers a stable surface that enables better traction, making walking easier and more efficient."
Explain why inertia is essential for understanding motion in vehicles.,"Inertia is crucial for understanding vehicle motion as it describes an object’s tendency to resist changes in its state of motion. In vehicles, inertia is observed when sudden accelerations, decelerations, or turns cause passengers to feel a force acting in the opposite direction. For example, when a car stops suddenly, passengers continue moving forward due to inertia until restrained by seatbelts. Similarly, when a vehicle accelerates, passengers feel pushed back because their bodies resist the change in motion. This understanding helps in designing safety features, such as seatbelts and airbags, to manage the effects of inertia during rapid motion changes."
Why gravitational acceleration varies at different points on the Earth's surface?,"Gravitational acceleration varies on Earth due to differences in altitude, latitude, and Earth’s non-uniform shape. Higher altitudes increase the distance from Earth’s center, which weakens gravitational pull slightly. Latitude also plays a role; due to Earth's rotation, centrifugal force is greater at the equator, causing a slight reduction in effective gravity. Furthermore, Earth is not a perfect sphere; it is slightly flattened at the poles and bulges at the equator. This shape affects gravitational pull, making it stronger at the poles and weaker at the equator. These variations result in slight differences in gravitational acceleration across Earth's surface."
How does friction affect the stopping distance of a vehicle on different surfaces?,"Friction plays a critical role in determining the stopping distance of a vehicle. When a vehicle’s brakes are applied, frictional force between the tyres and the road surface opposes the vehicle’s motion, gradually bringing it to a stop. On dry, paved surfaces, high friction allows for shorter stopping distances because the tyres grip the road effectively. However, on slippery surfaces like wet roads or ice, friction is significantly reduced, resulting in longer stopping distances as the tyres struggle to maintain contact and traction. The effectiveness of friction thus directly impacts how quickly a vehicle can stop after braking."
Why do objects appear weightless in space?,"Objects appear weightless in space because they are in a continuous state of free-fall towards Earth or another celestial body. In orbit, both the object and the spacecraft experience gravitational pull but are moving fast enough horizontally that they keep ""falling"" around the Earth rather than directly towards it. This creates a sensation of weightlessness, as there is no support force acting on the objects. Unlike on Earth, where an object’s weight is balanced by the ground pushing upwards, in orbit, everything falls at the same rate, creating the effect of weightlessness, often described as ""microgravity."""
How does air resistance affect the motion of a falling object?,"Air resistance, also known as drag, opposes the motion of a falling object. When an object falls through the atmosphere, air molecules collide with it, creating a force opposite to its motion. Initially, the force of gravity accelerates the object, but as its speed increases, so does air resistance. Eventually, the upward force of air resistance equals the downward force of gravity, resulting in a balanced force. At this point, the object reaches terminal velocity and falls at a constant speed. Without air resistance, objects would continue accelerating, but in Earth’s atmosphere, air resistance limits their maximum speed."
Why is potential energy converted to kinetic energy when an object falls?,"Potential energy is the energy stored in an object due to its position relative to a gravitational field. When an object falls, it moves closer to the Earth’s surface, reducing its gravitational potential energy. This lost potential energy is converted into kinetic energy, which increases as the object accelerates downward. The total mechanical energy (potential + kinetic) remains constant, assuming no air resistance. As the object falls, its potential energy continuously transforms into kinetic energy, increasing its speed. By the time it reaches the ground, all initial potential energy has been converted into kinetic energy."
What factors determine the amount of inertia in an object?,"Inertia is determined by the mass of an object; the greater the mass, the more inertia it possesses. Inertia is the property that resists changes in an object’s state of motion, whether at rest or moving. For example, a heavy truck has more inertia than a small car and requires more force to start or stop its motion. Mass is directly proportional to inertia, meaning that as an object's mass increases, its resistance to changes in motion also increases. This principle is fundamental in Newton's first law, which states that an object will remain in its state of rest or motion unless acted upon by an external force."
Why does an object’s weight vary on different planets?,"An object’s weight depends on the gravitational force exerted on it, which varies across planets due to differences in their masses and radii. Weight is calculated by W=mg, where g is the gravitational acceleration. Larger planets with higher masses exert stronger gravitational forces, increasing an object’s weight, while smaller or less massive planets have weaker gravity, reducing weight. For instance, an object weighs more on Jupiter than on Earth due to Jupiter's stronger gravitational pull. Therefore, while an object's mass remains constant, its weight changes with varying gravitational strengths on different planets."
How does Newton’s third law explain the action of a swimmer pushing against water?,"Newton's third law states that every action has an equal and opposite reaction. When a swimmer pushes against water with their hands and feet, they exert a force on the water (action). In response, the water pushes back with an equal and opposite force (reaction), propelling the swimmer forward. This reaction force is what enables the swimmer to move through the water. The harder they push, the greater the reaction force, and the faster they move. Newton’s third law is fundamental in understanding swimming, rowing, and other activities where movement is generated by pushing against a fluid or solid surface."
Why do vehicles have a maximum speed limit even with high power engines?,"Vehicles have a maximum speed limit due to the balance between engine power, air resistance, and frictional forces. As a vehicle’s speed increases, air resistance grows exponentially, requiring more power to overcome it. At high speeds, a point is reached where the engine's power can only counterbalance the air resistance, friction, and internal drag, preventing further acceleration. This is called the vehicle's top speed. Additionally, safety regulations and mechanical limits on the engine, tyres, and structural design also restrict maximum speed. Efficient design helps optimize speed, but ultimately, physical forces set a natural limit."
How is the concept of conservation of momentum applied in car collisions?,"The conservation of momentum states that in an isolated system with no external forces, the total momentum before a collision is equal to the total momentum after the collision. In car collisions, the momentum of both vehicles combines, resulting in a shared momentum in the system. For example, if a moving car collides with a stationary car, the combined momentum is distributed between them after impact. If they stick together (inelastic collision), they move as one unit with shared momentum. In elastic collisions, they bounce apart with separate velocities, but total momentum is conserved in both cases, demonstrating this fundamental principle."
Why does an astronaut feel weightless even though gravity is present in space?,"An astronaut feels weightless in space because they are in free-fall, moving around Earth at the same rate as the spacecraft. Although gravity still acts on them, pulling both the astronaut and the spacecraft towards Earth, they do not experience any support force (like the ground on Earth) to resist this pull. As a result, they continuously fall around Earth in orbit rather than falling directly to its surface. This creates a sensation of weightlessness, as there is no contact force pushing back against their body. Hence, despite the presence of gravity, astronauts feel weightless due to the conditions of orbit."
How does friction help in climbing a mountain?,"Friction provides the necessary grip that prevents climbers from slipping as they ascend. When a climber pushes against the ground or rocks, friction between their shoes and the surface creates resistance that enables them to hold their position and move upwards. The rougher the surface, the more friction is available, making it easier to grip. Climbing without sufficient friction, such as on smooth or slippery surfaces, would make it challenging to maintain balance and traction. Therefore, friction is essential in mountain climbing, as it enables upward movement by opposing the force of gravity and preventing falls."
Why does an object thrown horizontally eventually fall to the ground?,"An object thrown horizontally eventually falls to the ground due to the force of gravity acting on it. When an object is projected horizontally, it has no initial vertical motion; however, gravity continuously pulls it downward. This results in a downward acceleration, causing the object to follow a curved path. Over time, the vertical displacement increases, and the object moves towards the ground. The horizontal motion remains unaffected by gravity, so it continues moving forward while also accelerating downwards. This combination creates a parabolic trajectory, eventually leading to the object hitting the ground."
How does centripetal force help a car make a turn on a curved road?,"Centripetal force is the inward force required to keep an object moving in a circular path. When a car turns on a curved road, friction between the tyres and the road provides this centripetal force. It pulls the car towards the center of the curve, preventing it from moving in a straight line. If there is insufficient friction, such as on a wet road, the car may skid outward due to lack of adequate centripetal force. The sharper the turn or the higher the speed, the more centripetal force is needed to maintain the curve, making friction essential for safe turning at higher speeds or on sharper bends."
How does Newton's second law apply to the braking of a moving vehicle?,"Newton’s second law states that F=ma, where force is equal to mass times acceleration. When brakes are applied, they create a force that opposes the vehicle’s motion, decelerating it. The greater the force applied by the brakes, the quicker the vehicle slows down. For a heavier vehicle, more braking force is required to achieve the same rate of deceleration as a lighter"
Explain why you have to run a short distance before taking a long jump.,"If no force is applied to an object, a stationary object wants to stay at rest forever, and an object in motion wants to stay in motion forever. This property is called inertia of matter. A long jump is preceded by a short run to build up momentum, allowing for a longer jump."
"In the stem, 'P' is better than 'Q.' Express your opinion considering the efficiency.","The efficiency of a motor is determined by the ratio of its output power to its input power, expressed as a percentage. In this case, motor P has a higher efficiency than motor Q, making it the better option between the two"
"What is inertia, and how does it affect the motion of objects?","Inertia is a property of matter that causes an object to resist changes in its state of motion. An object at rest will remain at rest, and an object in motion will continue moving at a constant velocity unless acted upon by an external force. This resistance to change is due to the mass of the object. The greater the mass, the greater the inertia, which is why heavier objects are harder to move or stop."
"Why do athletes, like long jumpers or sprinters, take a running start before jumping or sprinting?","Athletes take a running start to build up momentum, which is the product of an object's mass and velocity. By increasing their speed before taking off, they increase their momentum, which allows them to cover a greater distance during a jump or reach higher speeds in a sprint. This technique uses inertia to maintain forward motion, maximizing performance by effectively using the body's built-up energy."
"How is efficiency calculated for an electric motor, and why is it important?","The efficiency of an electric motor is calculated by comparing the output power (useful energy delivered) to the input power (total energy supplied) and expressing it as a percentage. The formula is: Efficiency (%) = (Output Power / Input Power) × 100. High efficiency means that the motor converts more of the supplied energy into useful work with minimal energy loss, which is essential for energy conservation and cost savings. Efficient motors are especially valuable in industrial applications, where energy consumption can be significant."
"In practical terms, why would you choose a more efficient motor over a less efficient one?","A more efficient motor converts more of the electrical energy into useful work, reducing energy waste. This is cost-effective over time, as it decreases electricity costs. Additionally, higher efficiency motors typically generate less heat and require less maintenance, which can improve reliability and lifespan. Choosing a more efficient motor is particularly advantageous in settings where continuous operation is required, as it minimizes energy loss and environmental impact."
How does gravitational potential energy depend on mass and height?,"Gravitational potential energy (GPE) is the energy an object possesses due to its position in a gravitational field. It depends directly on the object’s mass and height above the ground, as given by the formula: GPE = m × g × h, where m is the mass, g is the acceleration due to gravity, and h is the height. This means that heavier objects or those positioned at greater heights will have higher potential energy, which can be converted to kinetic energy if the object falls."
Why is potential energy important when comparing the performance of motors?,"Potential energy is a measure of the work a motor can perform by raising a mass to a certain height. In comparing motors, the potential energy generated reflects their capability to perform useful work. A motor that can raise a larger mass or lift it to a greater height in the same amount of time demonstrates higher power and efficiency, making it more effective for applications requiring heavy lifting or high energy transfer."
How does acceleration due to gravity affect the potential energy of an object?,"The acceleration due to gravity (usually approximated as 9.8 m/s² on Earth) is a key factor in calculating an object's potential energy. Since potential energy is calculated as PE = m × g × h, an increase in gravitational acceleration (such as on a planet with stronger gravity than Earth) would increase the potential energy of an object at the same height. Conversely, if the gravitational acceleration is lower, the potential energy would also be reduced. This concept is critical in understanding how energy requirements change in different gravitational fields, such as in space exploration."
